صفحة PDF,القسم,رقم المخالفة في القسم,الرمز الداخلي,نوع المخالفة,أول مرة,ثاني مرة,ثالث مرة,رابع مرة
40,مواعيد العمل,15,WS-15,الانقطاع عن العمل دون سبب مشروع مدة تزيد على خمسة عشر يوماً متصلة، خلال السنة العقدية الواحدة.,الفصل دون مكافأة أو تعويض بعد إنذار كتابي عند 10 أيام غياب,الفصل دون مكافأة أو تعويض بعد إنذار كتابي عند 10 أيام غياب,الفصل دون مكافأة أو تعويض بعد إنذار كتابي عند 10 أيام غياب,الفصل دون مكافأة أو تعويض بعد إنذار كتابي عند 10 أيام غياب
40,مواعيد العمل,16,WS-16,الغياب المتقطع دون سبب مشروع مدة تزيد في مجموعها على ثلاثين يوماً، خلال السنة العقدية الواحدة.,الفصل دون مكافأة أو تعويض بعد إنذار كتابي عند 20 يوماً غياب,الفصل دون مكافأة أو تعويض بعد إنذار كتابي عند 20 يوماً غياب,الفصل دون مكافأة أو تعويض بعد إنذار كتابي عند 20 يوماً غياب,الفصل دون مكافأة أو تعويض بعد إنذار كتابي عند 20 يوماً غياب
40,تنظيم العمل,1,WO-01,التواجد دون مبرر في غير مكان العمل المخصص للعامل أثناء وقت الدوام.,خصم 10% من الأجر اليومي,خصم 25% من الأجر اليومي,خصم 50% من الأجر اليومي,خصم يوم من الأجر
40,تنظيم العمل,2,WO-02,استقبال زائرين في غير أمور عمل المنشأة في أماكن العمل، دون إذن من الإدارة.,إنذار كتابي,خصم 10% من الأجر اليومي,خصم 15% من الأجر اليومي,خصم 25% من الأجر اليومي
40,تنظيم العمل,3,WO-03,استعمال آلات، أو معدات، أو أدوات المنشأة؛ لأغراض خاصة، دون إذن.,إنذار كتابي,خصم 10% من الأجر اليومي,خصم 25% من الأجر اليومي,خصم 50% من الأجر اليومي
40,تنظيم العمل,4,WO-04,تدخل العامل، دون وجه حق في أي عمل ليس في اختصاصه، أو لم يعهد به إليه.,خصم 50% من الأجر اليومي,خصم يوم من الأجر,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر
41,تنظيم العمل,5,WO-05,الخروج، أو الدخول من غير المكان المخصص لذلك.,إنذار كتابي,خصم 10% من الأجر اليومي,خصم 15% من الأجر اليومي,خصم 25% من الأجر اليومي
41,تنظيم العمل,6,WO-06,الإهمال في تنظيف الآلات، وصيانتها، أو عدم العناية بها، أو عدم التبليغ عن ما بها من خلل.,خصم 50% من الأجر اليومي,خصم يوم من الأجر,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر
41,تنظيم العمل,7,WO-07,عدم وضع أدوات الإصلاح، والصيانة، واللوازم الأخرى في الأماكن المخصصة لها، بعد الانتهاء من العمل.,إنذار كتابي,خصم 25% من الأجر اليومي,خصم 50% من الأجر اليومي,خصم يوم من الأجر
41,تنظيم العمل,8,WO-08,تمزيق، أو إتلاف إعلانات، أو بلاغات إدارة المنشأة.,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر,الفصل من العمل مع المكافأة
41,تنظيم العمل,9,WO-09,الإهمال في العهد التي بحوزته، مثال: (سيارات، آلات، أجهزة، معدات، أدوات ...إلخ).,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر,الفصل من العمل مع المكافأة
41,تنظيم العمل,10,WO-10,الأكل في مكان العمل، أو غير المكان المعد له، أو في غير أوقات الراحة.,إنذار كتابي,خصم 10% من الأجر اليومي,خصم 15% من الأجر اليومي,خصم 25% من الأجر اليومي
41,تنظيم العمل,11,WO-11,النوم أثناء العمل.,إنذار كتابي,خصم 10% من الأجر اليومي,خصم 25% من الأجر اليومي,خصم 50% من الأجر اليومي
41,تنظيم العمل,12,WO-12,النوم في الحالات التي تستدعي يقظة مستمرة.,خصم 50% من الأجر اليومي,خصم يوم من الأجر,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر
41,تنظيم العمل,13,WO-13,التسكع، أو وجود العامل في غير مكان عمله، أثناء ساعات العمل.,خصم 10% من الأجر اليومي,خصم 25% من الأجر اليومي,خصم 50% من الأجر اليومي,خصم يوم من الأجر
41,تنظيم العمل,14,WO-14,التلاعب في إثبات الحضور، والانصراف.,خصم يوم من الأجر,خصم يومين من الأجر,تأجيل الترقية أو الحرمان من العلاوة لمرة واحدة,الفصل من العمل مع المكافأة
41,تنظيم العمل,15,WO-15,عدم إطاعة الأوامر العادية الخاصة بالعمل، أو عدم تنفيذ التعليمات الخاصة بالعمل، والمعلقة في مكان ظاهر.,خصم 25% من الأجر اليومي,خصم 50% من الأجر اليومي,خصم يوم من الأجر,خصم يومين من الأجر
41,تنظيم العمل,16,WO-16,التحريض على مخالفة الأوامر، والتعليمات الخطية الخاصة بالعمل.,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر,الفصل من العمل مع المكافأة
41,تنظيم العمل,17,WO-17,التدخين في الأماكن المحظورة، والمعلن عنها للمحافظة على سلامة العمال، والمنشأة.,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر,الفصل من العمل مع المكافأة
41,تنظيم العمل,18,WO-18,الإهمال، أو التهاون في العمل الذي قد ينشأ عنه ضرر في صحة العمال، أو سلامتهم، أو في المواد، أو الأدوات، والأجهزة.,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر,الفصل من العمل مع المكافأة
41,سلوك العامل,1,EC-01,التشاجر مع الزملاء، أو مع الغير، أو إحداث مشاغبات في مكان العمل.,خصم يوم من الأجر,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر
41,سلوك العامل,2,EC-02,التمارض، أو ادعاء العامل كذباً أنه أصيب أثناء العمل، أو بسببه.,خصم يوم من الأجر,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر
41,سلوك العامل,3,EC-03,الامتناع عن إجراء الكشف الطبي عند طلب طبيب المنشأة، أو رفض اتباع التعليمات الطبية أثناء العلاج.,خصم يوم من الأجر,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر
42,سلوك العامل,4,EC-04,مخالفة التعليمات الصحية المعلقة بأماكن العمل.,خصم 50% من الأجر اليومي,خصم يوم من الأجر,خصم يومين من الأجر,خصم خمسة أيام من الأجر
42,سلوك العامل,5,EC-05,الكتابة على جدران المنشأة، أو لصق إعلانات عليها.,إنذار كتابي,خصم 10% من الأجر اليومي,خصم 25% من الأجر اليومي,خصم 50% من الأجر اليومي
42,سلوك العامل,6,EC-06,رفض التفتيش الإداري عند الانصراف.,خصم 25% من الأجر اليومي,خصم 50% من الأجر اليومي,خصم يوم من الأجر,خصم يومين من الأجر
42,سلوك العامل,7,EC-07,عدم تسليم النقود المحصلة لحساب المنشأة في المواعيد المحددة دون تبرير مقبول.,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر,الفصل من العمل مع المكافأة
42,سلوك العامل,8,EC-08,الامتناع عن ارتداء الملابس، والأجهزة المقررة للوقاية والسلامة.,إنذار كتابي,خصم يوم من الأجر,خصم يومين من الأجر,خصم خمسة أيام من الأجر
42,سلوك العامل,9,EC-09,تعمد الخلوة مع الجنس الآخر في أماكن العمل.,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر,الفصل من العمل مع المكافأة
42,سلوك العامل,10,EC-10,الإيحاء للآخرين بما يخدش الحياء قولاً، أو فعلاً.,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر,الفصل من العمل مع المكافأة
42,سلوك العامل,11,EC-11,الاعتداء على زملاء العمل بالقول، أو الإشارة، أو باستعمال وسائل الاتصال الالكترونية بالشتم، أو التحقير.,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر,الفصل من العمل مع المكافأة
42,سلوك العامل,12,EC-12,الاعتداء بالإيذاء الجسدي على زملاء العمل، أو على غيرهم بطريقة إيجابية.,فصل بدون مكافأة أو إشعار أو تعويض بموجب المادة 80,فصل بدون مكافأة أو إشعار أو تعويض بموجب المادة 80,فصل بدون مكافأة أو إشعار أو تعويض بموجب المادة 80,فصل بدون مكافأة أو إشعار أو تعويض بموجب المادة 80
42,سلوك العامل,13,EC-13,الاعتداء الجسدي، أو القولي، أو بأي وسيلة من وسائل الاتصال الالكترونية على صاحب العمل، أو المدير المسؤول، أو أحد الرؤساء أثناء العمل، أو بسببه.,فصل بدون مكافأة أو إشعار أو تعويض بموجب المادة 80,فصل بدون مكافأة أو إشعار أو تعويض بموجب المادة 80,فصل بدون مكافأة أو إشعار أو تعويض بموجب المادة 80,فصل بدون مكافأة أو إشعار أو تعويض بموجب المادة 80
42,سلوك العامل,14,EC-14,تقديم بلاغ، أو شكوى كيدية.,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر,الفصل من العمل مع المكافأة,—
42,سلوك العامل,15,EC-15,عدم الامتثال لطلب لجنة التحقيق بالحضور.,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر,الفصل من العمل مع المكافأة
42,سلوك العامل,16,EC-16,عدم التقيد بالزي الرسمي المعتمد بالمنشأة.,خصم يوم من الأجر,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر,خصم خمسة أيام من الأجر
